SalesID,SalePrice,MachineID,datasource,auctioneerID,MachineHoursCurrentMeter,ProductSize,state,Drive_System,Enclosure,Forks,Ride_Control,Transmission,Hydraulics,Ripper,Tire_Size,Coupler,Track_Type,Undercarriage_Pad_Width,Stick_Length,Thumb,Pattern_Changer,Grouser_Type,ModelID_ma,fiModelDesc_ma,fiBaseModel_ma,fiSecondaryDesc_ma,fiProductClassDesc_ma,ProductGroup_ma,ProductGroupDesc_ma,MfgYear,fiManufacturerID,fiManufacturerDesc,PrimarySizeBasis,PrimaryLower,saledays
1607944,26000,1556500,132,2,0,0,44,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4700,609,236,36,92,23,22,1994,43,37,1,120.0,38125
1286881,27000,1519111,132,1,0,0,44,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,3171,668,250,47,11,3,3,1996,25,9,4,14.0,36480
1216622,26500,1004389,121,3,1179,0,33,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4605,311,140,36,11,3,3,2005,43,37,4,14.0,40757
1278430,30000,1445785,132,2,0,4,38,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3218,840,293,12,93,23,22,1996,25,9,1,135.0,37784
1633509,25500,1508465,132,2,0,0,44,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4604,309,140,30,11,3,3,1999,43,37,4,14.0,38802
1724072,33000,1282942,132,1,0,3,44,0,3,0,0,0,11,0,0,0,2,0,20,0,0,1,11862,2507,1049,48,28,12,12,1998,99,41,5,19.0,39349
1638640,24000,1530327,132,1,0,0,3,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4605,311,140,36,11,3,3,2001,43,37,4,14.0,39616
1256471,11000,1444132,132,10,0,6,18,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,3246,1035,370,20,24,12,12,1981,25,9,5,12.0,35668
1194109,30000,1014191,121,3,0,0,5,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3569,518,204,26,13,3,3,2005,26,10,4,16.0,40085
1406587,20500,1507055,132,10,4713,6,18,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,7054,316,141,0,23,12,12,1994,26,10,5,11.0,40470
1550441,34000,623029,132,1,0,0,33,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,4093,1355,509,36,78,15,15,2003,26,10,1,20.0,39057
1497648,34000,969476,132,17,0,4,12,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,77,1109,407,34,94,23,22,1994,26,10,1,150.0,39558
1168299,29000,1020860,121,3,0,0,25,0,1,0,0,4,5,0,3,0,0,0,0,0,0,0,3359,46,18,36,50,7,7,1974,26,10,1,130.0,40043
1213312,14000,1066208,121,3,2489,5,37,0,1,0,0,0,4,0,0,2,1,0,0,1,1,1,36006,489,196,0,35,12,12,2005,121,6,5,4.0,40743
1757160,10300,12223,132,9,0,0,41,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,5248,1269,506,63,78,15,15,1990,103,43,1,20.0,36767
1423392,90000,147506,132,2,0,4,9,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3877,1141,418,20,99,23,22,1990,26,10,1,275.0,36191
1894654,9000,1355104,132,2,0,5,5,0,1,0,0,0,11,0,0,0,1,0,0,0,0,1,11008,1185,450,0,22,12,12,1991,847,78,5,0.0,36725
1341417,117500,593643,132,1,0,0,44,0,3,0,0,0,5,3,5,0,0,0,0,0,0,0,23931,57,22,38,52,7,7,1998,26,10,1,170.0,37024
2469976,13500,1417837,136,1,0,5,7,0,1,0,0,0,4,0,0,0,1,0,0,1,0,1,20236,1230,486,0,29,12,12,2005,800,74,5,2.0,40351
1625145,13500,1545541,132,1,0,0,35,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4603,308,140,26,11,3,3,1993,43,37,4,14.0,37367
1623955,33000,1551973,132,1,0,0,6,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,4603,308,140,26,11,3,3,1992,43,37,4,14.0,35332
1597388,11500,1521066,132,4,0,0,9,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,24488,520,207,0,78,15,15,1979,43,37,1,20.0,32538
1263342,20000,1485555,132,1,0,0,37,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,3320,2703,1195,12,89,23,22,1980,25,9,1,100.0,32988
1333178,18000,1549508,132,2,0,5,9,0,1,0,0,0,11,0,0,0,2,4,0,0,0,1,1092,298,138,0,40,12,12,1995,26,10,5,6.0,38999
1447763,75000,484678,132,19,0,0,4,0,4,0,0,0,5,3,0,0,0,0,0,0,0,0,3362,55,22,36,51,7,7,1988,26,10,1,145.0,39014
1156208,17000,1026399,121,3,0,0,46,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,17319,2594,1116,0,61,11,10,2006,121,6,3,0.0,40015
1347496,37000,1224225,132,1,0,4,23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3803,1096,401,30,93,23,22,1988,26,10,1,135.0,35535
1405833,13000,1268670,132,1,0,0,49,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,43,470,190,0,11,3,3,1991,26,10,4,14.0,37592
6309981,12500,1811679,149,1,0,5,5,0,1,0,0,0,11,0,0,2,2,0,0,0,0,1,17241,392,160,36,33,12,12,2004,121,6,5,3.0,40807
2530187,18000,42214,149,0,5048,0,18,0,3,1,0,0,1,0,5,2,0,0,0,0,0,0,4329,1860,719,34,89,23,22,1995,26,10,1,100.0,40699
1668994,13000,1117643,132,1,0,0,33,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,8585,635,241,0,11,3,3,1995,55,20,4,14.0,38070
1633357,15500,1540919,132,1,0,0,44,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4604,309,140,30,11,3,3,1998,43,37,4,14.0,40483
1621519,15500,1414142,132,1,0,0,5,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4639,456,187,20,12,3,3,1989,43,37,4,15.0,35514
1807860,9500,1397261,132,1,0,0,10,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,9550,882,310,0,62,11,10,2003,121,6,3,1251.0,39707
1198810,60000,1058094,121,3,701,4,9,0,3,0,0,0,1,0,7,1,0,0,0,0,0,0,10204,2032,826,0,95,23,22,2005,135,56,1,175.0,40218
2403105,10000,1707047,136,0,4749,0,51,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,177,1296,511,9,78,15,15,1979,103,43,1,20.0,39540
1602588,20000,1319415,132,1,0,0,5,0,4,0,0,0,5,0,4,0,0,0,0,0,0,0,4721,652,248,9,54,7,7,1984,43,37,1,45.0,40146
1658548,10000,1108079,132,1,0,0,33,0,4,0,0,0,1,0,5,0,0,0,0,0,0,0,8569,1746,645,0,89,23,22,1985,54,19,1,100.0,36975
1477341,11000,1523796,132,3,0,3,5,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,7018,227,103,0,39,12,12,1979,26,10,5,50.0,40057
1280809,16250,1288021,132,11,0,0,24,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,3150,569,221,34,10,3,3,1991,25,9,4,0.0,35765
1323746,77500,264488,132,1,0,4,41,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,3819,1106,407,12,94,23,22,1986,26,10,1,150.0,32551
1594144,12500,1161654,132,1,0,0,6,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,8009,236,107,0,64,11,10,2000,43,37,3,1601.0,38531
1184585,106000,165194,121,3,7774,0,10,1,3,0,0,4,5,0,3,0,0,0,0,0,0,0,23931,57,22,38,52,7,7,1999,26,10,1,170.0,39791
1303621,12500,1419190,132,1,0,0,23,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,6976,53,22,0,51,7,7,1973,26,10,1,145.0,35535
1341440,75000,1557174,132,14,0,0,14,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,23931,57,22,38,52,7,7,1998,26,10,1,170.0,40436
2248014,67500,418825,136,1,0,4,25,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,77,1109,407,34,94,23,22,1996,26,10,1,150.0,39517
1456294,25000,1186785,132,1,0,2,15,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,4147,1541,538,46,79,15,15,1978,26,10,1,260.0,38789
6288141,23000,1830426,149,1,0,0,3,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4605,311,140,36,11,3,3,2004,43,37,4,14.0,40720
2565757,125000,748635,149,1,3287,4,5,0,4,0,0,6,1,1,0,0,0,0,0,0,0,0,1634,1502,528,69,76,15,15,2005,26,10,1,160.0,40447
1693640,16500,1296521,132,4,0,0,9,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,15384,2050,841,9,54,7,7,1986,77,29,1,45.0,37660
2413500,20000,1226069,136,1,0,3,13,0,1,0,0,0,4,0,0,0,2,0,0,0,0,1,2246,2227,927,0,30,12,12,1990,103,43,5,21.0,39522
2412076,8000,1238000,136,1,0,3,25,0,1,0,0,0,4,0,0,0,2,0,4,0,0,1,2269,2311,945,0,37,12,12,1991,103,43,5,40.0,40265
1288729,18000,1525079,132,15,0,0,38,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,3238,993,357,36,81,15,15,1919,25,9,1,85.0,40644
2304789,16000,765620,136,1,0,5,9,0,1,0,0,0,4,0,0,0,1,0,0,0,1,1,13398,292,137,0,38,12,12,2004,26,10,5,5.0,40222
1507214,18000,1502214,132,10,0,2,18,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,4138,1513,536,34,77,15,15,1974,26,10,1,190.0,33771
6308163,14000,549313,149,1,0,1,9,0,4,1,0,0,1,0,0,2,0,0,0,0,0,0,9341,2415,984,0,101,23,22,2001,106,44,1,40.0,40770
1406394,31000,1334975,132,2,0,6,43,0,3,0,0,0,11,0,0,0,2,17,0,0,0,1,7054,316,141,0,23,12,12,1993,26,10,5,11.0,36384
1388935,35500,1485647,132,2,0,0,32,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,3362,55,22,36,51,7,7,1980,26,10,1,145.0,33843
1738298,8000,1529204,132,1,0,5,9,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,11980,2153,915,93,24,12,12,1999,103,43,5,12.0,39131
1267597,36000,1537297,132,1,5300,6,18,0,3,0,0,0,11,0,0,0,2,0,0,2,0,1,3282,1224,483,0,27,12,12,2003,25,9,5,16.0,40737
1453868,24000,842650,132,14,0,3,14,0,1,0,0,0,11,0,0,0,2,0,0,2,0,1,1047,194,87,0,31,12,12,1978,26,10,5,24.0,35780
2732372,12750,1831050,149,26,5340,0,41,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,25020,640,241,0,14,3,3,1997,135,56,0,0.0,40470
1338829,28500,527614,132,6,0,0,9,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,4113,1414,522,20,81,15,15,1993,26,10,1,85.0,35918
1706958,11250,1284023,132,18,0,0,38,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5158,54,23,12,14,3,3,1990,92,36,0,0.0,36461
1762180,27000,1363769,132,9,0,2,41,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,649,2792,1220,0,100,23,22,1992,103,43,1,350.0,36766
1413394,27000,1308122,132,1,0,0,9,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,3538,466,190,20,11,3,3,1997,26,10,4,14.0,38998
1528377,117500,263948,132,1,0,2,44,0,1,0,0,6,1,2,0,0,0,0,0,0,0,0,4149,1543,538,60,79,15,15,1988,26,10,1,260.0,34875
1639473,30000,676850,132,2,0,0,32,2,1,0,1,6,0,0,0,0,0,0,0,0,0,0,4605,311,140,36,11,3,3,2002,43,37,4,14.0,39457
1335436,57500,82729,132,15,0,4,38,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,3879,1144,418,36,99,23,22,1996,26,10,1,275.0,40322
1430690,63000,818380,132,8,0,3,24,0,3,0,0,0,11,0,0,0,2,14,21,0,0,1,1158,343,149,12,30,12,12,1998,26,10,5,21.0,37578
2427940,8500,1286818,136,1,0,5,26,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,9506,367,155,0,29,12,12,2002,121,6,5,2.0,39960
1483807,12000,1384968,132,1,0,0,19,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,3356,39,14,34,54,7,7,1973,26,10,1,45.0,32992
1507254,29000,1304522,132,9,0,0,9,0,1,0,0,0,5,3,7,0,0,0,0,0,0,0,3380,92,31,36,53,7,7,1974,26,10,1,200.0,38033
2270916,34000,194963,136,1,0,0,6,0,1,0,0,6,3,1,0,0,0,0,0,0,0,0,4107,1389,518,38,81,15,15,1986,26,10,1,85.0,39175
1834363,16000,1445472,132,1,0,4,5,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,12289,966,346,0,76,15,15,1980,166,67,1,160.0,32593
1745782,18500,1378615,132,2,0,0,32,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,26999,1299,511,30,78,15,15,1987,103,43,1,20.0,37812
1532943,20000,1212264,132,4,0,5,38,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,7052,293,138,0,40,12,12,1995,26,10,5,6.0,38645
1744698,10000,1317404,132,1,0,0,43,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,35786,594,231,12,92,23,22,1987,103,43,1,120.0,36436
1883444,9000,1113562,132,2,0,5,9,0,1,0,0,0,11,0,0,0,1,0,0,0,0,1,10907,2611,1128,0,29,12,12,1998,750,65,5,2.0,38016
1681688,27500,1235470,132,5,0,6,7,0,1,0,0,0,11,0,0,0,2,5,0,0,0,2,8713,1636,595,0,24,12,12,1995,74,27,5,12.0,38693
1748322,29000,1200980,132,11,0,6,24,0,3,0,0,0,11,0,0,0,2,6,0,0,0,2,331,2146,913,0,24,12,12,1995,103,43,5,12.0,36493
1434741,45000,550726,132,14,0,4,14,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,1597,1431,522,56,74,15,15,1998,26,10,1,105.0,38980
1270877,11500,1321915,132,1,0,0,46,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3112,114,52,20,64,11,10,1994,25,9,3,1601.0,36268
1670846,11000,1396212,132,25,0,0,5,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,8585,635,241,0,11,3,3,1979,55,20,4,14.0,34543
1895646,12500,1406983,132,2,0,5,30,0,1,0,0,0,11,0,0,0,1,0,0,0,0,1,6054,1186,451,12,35,12,12,1994,847,78,5,4.0,37327
1592564,14000,1167580,132,1,0,5,28,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,14298,259,116,20,29,12,12,2005,43,37,5,2.0,40624
1516163,20000,1397329,132,1,0,4,44,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,4123,1477,528,20,75,15,15,1975,26,10,1,130.0,36787
4314684,42500,2287566,172,1,2900,6,33,0,3,0,0,0,4,0,0,0,2,0,0,0,0,1,1830,29,15,20,24,12,12,2006,43,37,5,12.0,40447
1507419,60000,1431614,132,1,0,0,5,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,3380,92,31,36,53,7,7,1977,26,10,1,200.0,35343
1275634,7000,1179087,132,5,0,0,7,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3112,114,52,20,64,11,10,1998,25,9,3,1601.0,39729
1619583,20000,1106287,132,25,0,0,5,0,4,0,0,6,1,2,0,0,0,0,0,0,0,0,8206,615,239,0,80,15,15,1987,43,37,1,75.0,34088
2355671,33750,1774913,136,0,0,0,7,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,1894,746,268,38,81,15,15,2002,43,37,1,85.0,39546
2343186,55000,1769258,136,1,269,6,25,0,3,0,0,0,11,0,0,0,2,0,0,2,0,1,11389,49,20,20,24,12,12,2006,43,37,5,12.0,40253
1581784,18000,1143645,132,1,0,3,35,0,1,0,0,0,11,0,0,2,2,0,0,0,0,1,4821,922,321,26,30,12,12,1992,43,37,5,21.0,39334
2241960,35000,593507,136,1,0,4,44,0,3,1,0,0,1,0,6,0,0,0,0,0,0,0,3807,1099,402,36,94,23,22,2001,26,10,1,150.0,39972
2569448,63000,248762,149,1,7076,3,10,0,3,0,0,0,11,0,0,0,2,0,21,2,1,1,1169,346,149,20,30,12,12,2001,26,10,5,21.0,40701
2294196,83000,1740672,136,0,0,4,9,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,1598,1432,522,60,74,15,15,2006,26,10,1,105.0,39487
1620553,11000,1118793,132,1,0,0,13,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,4639,456,187,20,12,3,3,1988,43,37,4,15.0,37062
4311700,65000,2311732,172,1,2991,0,49,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,4702,612,236,44,92,23,22,2004,43,37,1,120.0,40155
1161344,32000,613573,121,3,1176,0,44,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,1557,1388,518,36,80,15,15,2006,26,10,1,75.0,40057
1293515,17500,1144628,132,1,0,0,19,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,3178,676,250,82,11,3,3,2000,25,9,4,14.0,39761
6284296,90000,1665304,149,1,0,4,5,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,14436,968,348,44,99,23,22,2004,43,37,1,275.0,40891
1418398,60000,121703,132,1,0,0,33,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,3357,40,14,36,50,7,7,1994,26,10,1,130.0,38518
1790901,16000,1433368,132,2,0,5,32,0,1,0,0,0,4,0,0,0,1,0,0,0,0,1,9512,402,166,0,38,12,12,2006,121,6,5,5.0,39807
1490908,42000,1353412,132,1,0,3,44,0,1,0,0,0,11,0,0,0,2,0,3,0,0,1,1229,372,155,0,32,12,12,1993,26,10,5,28.0,37151
1748279,18000,1459075,132,7,0,0,1,0,4,0,0,6,1,2,0,0,0,0,0,0,0,0,189,1307,511,63,78,15,15,1985,103,43,1,20.0,37313
1629295,60000,1193621,132,1,3291,3,5,0,3,0,0,0,11,0,0,0,2,0,0,0,0,1,14310,382,159,20,34,12,12,2003,43,37,5,33.0,40517
1616853,13000,1195456,132,6,0,0,19,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,8277,827,290,0,13,3,3,1984,43,37,4,16.0,33918
1155482,29000,1068568,121,3,7058,2,24,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,265,1465,533,67,77,15,15,1989,103,43,1,190.0,40036
1802036,8000,1279311,132,22,3661,0,23,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,5523,1011,359,38,64,11,10,1995,121,6,3,1601.0,39422
1271258,10000,1420663,132,2,0,0,35,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,6633,112,51,0,63,11,10,1995,25,9,3,1351.0,36734
2413893,21500,1110066,136,1,0,0,9,0,4,1,0,0,1,0,6,2,0,0,0,0,0,0,2322,2730,1205,0,92,23,22,2001,103,43,1,120.0,39858
2286051,45500,731375,136,8,0,3,24,0,3,0,0,0,11,0,0,0,2,0,0,0,1,1,1169,346,149,20,30,12,12,2002,26,10,5,21.0,39903
1625343,23750,1177176,132,2,0,0,9,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4603,308,140,26,11,3,3,1994,43,37,4,14.0,35828
4392944,77500,2300685,172,1,3805,3,6,0,3,0,0,0,4,0,0,0,2,0,0,1,0,1,18157,1605,577,12,31,12,12,2005,176,76,5,24.0,40463
1615825,18000,1247638,132,23,0,0,30,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,4638,455,187,12,12,3,3,1984,43,37,4,15.0,34557
2378541,37500,1686242,136,1,0,6,9,0,3,0,0,0,4,0,0,0,1,0,0,0,0,1,15839,2836,1247,0,24,12,12,2006,87,33,5,12.0,40222
1493492,40500,1399036,132,2,0,4,30,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,2759,1423,522,38,75,15,15,1988,26,10,1,130.0,36235
1725564,45000,1137731,132,1,0,3,23,0,1,0,0,0,11,0,0,0,2,0,0,0,0,2,8958,778,277,0,34,12,12,1988,101,42,5,33.0,34794
2604988,40000,1348219,149,4,0,1,9,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,21932,1066,389,38,103,23,22,2007,26,10,1,60.0,40579
1481736,11000,1361070,132,1,0,2,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7291,1146,419,0,100,23,22,1975,26,10,1,350.0,37058
1633623,17000,1163202,132,3,0,0,5,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4604,309,140,30,11,3,3,1999,43,37,4,14.0,39721
2398389,21000,1439068,136,1,0,4,7,0,1,0,0,0,1,0,8,2,0,0,0,0,0,0,9120,2771,1215,0,98,23,22,1999,103,43,1,250.0,40351
1467027,52000,1268864,132,1,0,3,44,0,3,0,0,0,4,0,0,0,2,0,0,0,0,1,1229,372,155,0,32,12,12,1996,26,10,5,28.0,37024
2646385,19000,1930960,149,1,8801,0,5,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4606,313,140,71,11,3,3,2000,43,37,4,14.0,40604
1218247,31000,1033555,121,3,11579,4,1,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,1623,1492,528,56,75,15,15,1999,26,10,1,130.0,40813
2350041,28000,1788784,136,1,0,0,44,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4605,311,140,36,11,3,3,2004,43,37,4,14.0,40147
1698726,77000,1498374,132,1,0,4,19,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,15479,1834,702,0,98,23,22,1998,86,31,1,250.0,36662
1283045,26000,84663,132,18,0,0,38,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,3170,666,250,46,11,3,3,1990,25,9,4,14.0,34165
1634004,8000,1299342,132,1,0,1,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4579,151,75,51,103,23,22,1999,43,37,1,60.0,40015
1464514,68500,1434607,132,2,0,6,9,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,7057,319,142,0,24,12,12,1996,26,10,5,12.0,36191
2201684,24500,1684126,136,0,0,0,7,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3192,687,251,83,12,3,3,2003,25,9,4,15.0,39764
1634157,18500,1134575,132,1,0,0,3,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4604,309,140,30,11,3,3,1999,43,37,4,14.0,38242
1152675,46000,368954,121,3,1506,6,3,0,3,0,0,0,11,0,0,1,2,0,0,0,0,1,23162,323,142,20,24,12,12,2006,26,10,5,12.0,40204
1487130,68000,364118,132,3,0,4,45,0,3,1,0,0,1,0,6,2,0,0,0,0,0,0,4334,1864,720,36,93,23,22,1999,26,10,1,135.0,37229
2351513,22500,1767751,136,0,0,0,28,3,3,0,1,6,0,0,0,0,0,0,0,0,0,0,4607,314,140,72,11,3,3,2002,43,37,4,14.0,40100
1791406,8500,1465503,132,11,0,0,24,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,9559,969,349,0,63,11,10,1978,121,6,3,1351.0,36247
